Volume ID	Volume Name	Volume Mass
5968	SiBoard	2.33e-06
5969	FiberSiPM	1.169e-06
5970	SiBoard	2.33e-06
5971	Fiber	0.00260055
5972	FiberSiPM	1.169e-06
5973	SiBoard	2.33e-06
5974	FiberSiPM	1.169e-06
5975	SiBoard	2.33e-06
5976	Fiber	0.00260055
5977	FiberSiPM	1.169e-06
5978	SiBoard	2.33e-06
5979	FiberSiPM	1.169e-06
5980	SiBoard	2.33e-06
5981	Fiber	0.00260055
5982	FiberSiPM	1.169e-06
5983	SiBoard	2.33e-06
5984	FiberSiPM	1.169e-06
5985	SiBoard	2.33e-06
5986	Fiber	0.00260055
5987	FiberSiPM	1.169e-06
5988	SiBoard	2.33e-06
5989	FiberSiPM	1.169e-06
5990	SiBoard	2.33e-06
5991	Fiber	0.00260055
5992	FiberSiPM	1.169e-06
5993	SiBoard	2.33e-06
5994	FiberSiPM	1.169e-06
5995	SiBoard	2.33e-06
5996	Fiber	0.00260055
5997	FiberSiPM	1.169e-06
5998	SiBoard	2.33e-06
5999	FiberSiPM	1.169e-06
6000	SiBoard	2.33e-06
6001	Fiber	0.00260055
6002	FiberSiPM	1.169e-06
6003	SiBoard	2.33e-06
6004	FiberSiPM	1.169e-06
6005	SiBoard	2.33e-06
6006	Fiber	0.00260055
6007	FiberSiPM	1.169e-06
6008	SiBoard	2.33e-06
6009	FiberSiPM	1.169e-06
6010	SiBoard	2.33e-06
6011	Fiber	0.00260055
6012	FiberSiPM	1.169e-06
6013	SiBoard	2.33e-06
6014	FiberSiPM	1.169e-06
6015	SiBoard	2.33e-06
6016	Fiber	0.00260055
6017	FiberSiPM	1.169e-06
6018	SiBoard	2.33e-06
6019	FiberSiPM	1.169e-06
6020	SiBoard	2.33e-06
6021	Fiber	0.00260055
6022	FiberSiPM	1.169e-06
6023	SiBoard	2.33e-06
6024	FiberSiPM	1.169e-06
6025	SiBoard	2.33e-06
6026	Fiber	0.00260055
6027	FiberSiPM	1.169e-06
6028	SiBoard	2.33e-06
6029	FiberSiPM	1.169e-06
6030	SiBoard	2.33e-06
6031	Fiber	0.00260055
6032	FiberSiPM	1.169e-06
6033	SiBoard	2.33e-06
6034	FiberSiPM	1.169e-06
6035	SiBoard	2.33e-06
6036	Fiber	0.00260055
6037	FiberSiPM	1.169e-06
6038	SiBoard	2.33e-06
6039	FiberSiPM	1.169e-06
6040	SiBoard	2.33e-06
6041	Fiber	0.00260055
6042	FiberSiPM	1.169e-06
6043	SiBoard	2.33e-06
6044	FiberSiPM	1.169e-06
6045	SiBoard	2.33e-06
6046	Fiber	0.00260055
6047	FiberSiPM	1.169e-06
6048	SiBoard	2.33e-06
6049	FiberSiPM	1.169e-06
6050	SiBoard	2.33e-06
6051	Fiber	0.00260055
6052	FiberSiPM	1.169e-06
6053	SiBoard	2.33e-06
6054	FiberSiPM	1.169e-06
6055	SiBoard	2.33e-06
6056	Fiber	0.00260055
6057	FiberSiPM	1.169e-06
6058	SiBoard	2.33e-06
6059	FiberSiPM	1.169e-06
6060	SiBoard	2.33e-06
6061	Fiber	0.00260055
6062	FiberSiPM	1.169e-06
6063	SiBoard	2.33e-06
6064	FiberSiPM	1.169e-06
6065	SiBoard	2.33e-06
6066	Fiber	0.00260055
6067	FiberSiPM	1.169e-06
6068	SiBoard	2.33e-06
6069	FiberSiPM	1.169e-06
6070	SiBoard	2.33e-06
6071	Fiber	0.00260055
6072	FiberSiPM	1.169e-06
6073	SiBoard	2.33e-06
6074	FiberSiPM	1.169e-06
6075	SiBoard	2.33e-06
6076	Fiber	0.00260055
6077	FiberSiPM	1.169e-06
6078	SiBoard	2.33e-06
6079	FiberSiPM	1.169e-06
6080	SiBoard	2.33e-06
6081	Fiber	0.00260055
6082	FiberSiPM	1.169e-06
6083	SiBoard	2.33e-06
6084	FiberSiPM	1.169e-06
6085	SiBoard	2.33e-06
6086	Fiber	0.00260055
6087	FiberSiPM	1.169e-06
6088	SiBoard	2.33e-06
6089	FiberSiPM	1.169e-06
6090	SiBoard	2.33e-06
6091	Fiber	0.00260055
6092	FiberSiPM	1.169e-06
6093	SiBoard	2.33e-06
6094	FiberSiPM	1.169e-06
6095	SiBoard	2.33e-06
6096	Fiber	0.00260055
6097	FiberSiPM	1.169e-06
6098	SiBoard	2.33e-06
6099	FiberSiPM	1.169e-06
6100	SiBoard	2.33e-06
6101	Fiber	0.00260055
6102	FiberSiPM	1.169e-06
6103	SiBoard	2.33e-06
6104	FiberSiPM	1.169e-06
6105	SiBoard	2.33e-06
6106	Fiber	0.00260055
6107	FiberSiPM	1.169e-06
6108	SiBoard	2.33e-06
6109	FiberSiPM	1.169e-06
6110	SiBoard	2.33e-06
6111	Fiber	0.00260055
